ID,lon,lat
329,106.633092953,-6.7433031313
330,106.637604212,-6.74334355099
331,106.642115498,-6.74338392922
332,106.646626811,-6.74342426599
333,106.651138153,-6.7434645613
334,106.655649521,-6.74350481515
335,106.682718312,-6.7437454675
336,106.687229873,-6.74378543109
337,106.691741461,-6.7438253532
338,106.768442618,-6.74449768287
339,106.772954694,-6.74453685829
340,106.777466796,-6.74457599222
341,106.781978925,-6.74461508465
342,106.786491081,-6.74465413559
343,106.791003264,-6.74469314502
344,106.795515473,-6.74473211296
345,106.800027709,-6.7447710394
346,106.804539971,-6.74480992433
347,106.80905226,-6.74484876777
348,106.813564576,-6.7448875697
349,106.818076918,-6.74492633012
350,106.822589287,-6.74496504904
351,106.827101682,-6.74500372645
352,106.831614104,-6.74504236235
353,106.836126552,-6.74508095674
354,106.840639027,-6.74511950962
355,106.845151528,-6.74515802099
356,106.849664055,-6.74519649084
357,106.854176609,-6.74523491918
358,106.858689188,-6.745273306
359,106.863201795,-6.74531165131
360,106.867714427,-6.74534995509
361,106.872227085,-6.74538821736
362,106.87673977,-6.74542643811
363,106.881252481,-6.74546461733
364,106.885765218,-6.74550275503
365,106.890277981,-6.74554085121
366,106.89479077,-6.74557890586
367,106.899303585,-6.74561691899
368,106.903816427,-6.74565489059
369,106.908329294,-6.74569282066
370,106.912842187,-6.74573070919
371,106.917355106,-6.7457685562
372,106.921868051,-6.74580636168
373,106.926381021,-6.74584412562
374,106.930894018,-6.74588184802
375,106.93540704,-6.74591952889
376,106.939920089,-6.74595716823
377,106.944433162,-6.74599476602
378,106.948946262,-6.74603232228
379,106.953459387,-6.74606983699
380,106.957972538,-6.74610731017
381,106.962485715,-6.7461447418
382,106.966998917,-6.74618213188
383,106.971512145,-6.74621948042
384,106.976025398,-6.74625678742
385,106.46623806,-6.73726968422
386,106.470748234,-6.73731160865
387,106.475258437,-6.73735349169
388,106.479768668,-6.73739533335
389,106.484278928,-6.73743713363
390,106.488789217,-6.73747889252
391,106.493299534,-6.73752061002
392,106.49780988,-6.73756228614
393,106.502320255,-6.73760392086
394,106.506830657,-6.73764551419
395,106.511341089,-6.73768706613
396,106.515851548,-6.73772857667
397,106.520362037,-6.73777004582
398,106.524872553,-6.73781147357
399,106.529383098,-6.73785285992
400,106.533893671,-6.73789420488
401,106.538404273,-6.73793550843
402,106.542914903,-6.73797677058
403,106.547425561,-6.73801799133
404,106.551936247,-6.73805917067
405,106.556446962,-6.73810030861
406,106.58802275,-6.73838711469
407,106.592533689,-6.73842792134
408,106.597044655,-6.73846868657
409,106.60155565,-6.73850941038
410,106.606066673,-6.73855009276
411,106.610577723,-6.73859073373
412,106.615088802,-6.73863133328
413,106.619599908,-6.7386718914
414,106.624111042,-6.7387124081
415,106.628622203,-6.73875288337
416,106.633133393,-6.73879331722
417,106.637644609,-6.73883370963
418,106.642155854,-6.73887406062
419,106.646667126,-6.73891437017
420,106.651178426,-6.7389546383
421,106.655689754,-6.73899486499
422,106.678246803,-6.73919537689
423,106.682758295,-6.73923535495
424,106.687269815,-6.73927529158
425,106.691781362,-6.73931518675
426,106.696292936,-6.73935504049
427,106.768481813,-6.73998706276
428,106.772993847,-6.74002621175
429,106.777505908,-6.74006531927
430,106.782017996,-6.74010438533
431,106.78653011,-6.74014340991
432,106.791042251,-6.74018239303
433,106.795554419,-6.74022133467
434,106.800066614,-6.74026023485
435,106.804578835,-6.74029909354
436,106.809091082,-6.74033791077
437,106.813603356,-6.74037668652
438,106.818115657,-6.74041542079
439,106.822627985,-6.74045411358
440,106.827140338,-6.74049276489
441,106.831652718,-6.74053137472
442,106.836165125,-6.74056994307
443,106.840677558,-6.74060846994
444,106.845190018,-6.74064695532
445,106.849702503,-6.74068539921
446,106.854215015,-6.74072380162
447,106.858727554,-6.74076216254
448,106.863240118,-6.74080048197
449,106.867752709,-6.74083875992
450,106.872265326,-6.74087699637
451,106.876777969,-6.74091519132
452,106.881290639,-6.74095334479
453,106.885803334,-6.74099145675
454,106.890316056,-6.74102952723
455,106.894828803,-6.7410675562
456,106.899341577,-6.74110554368
457,106.903854377,-6.74114348965
458,106.908367202,-6.74118139413
459,106.912880054,-6.7412192571
460,106.917392931,-6.74125707857
461,106.921905835,-6.74129485854
462,106.926418764,-6.741332597
463,106.930931719,-6.74137029395
464,106.9354447,-6.74140794939
465,106.939957706,-6.74144556333
466,106.944470739,-6.74148313576
467,106.948983797,-6.74152066667
468,106.953496881,-6.74155815607
469,106.95800999,-6.74159560396
470,106.962523125,-6.74163301033
471,106.967036286,-6.74167037519
472,106.971549472,-6.74170769853
473,106.976062684,-6.74174498035
474,106.980575921,-6.74178222065
475,106.985089184,-6.74181941943
476,106.457259824,-6.7326769815
477,106.4617699,-6.73271896033
478,106.466280004,-6.7327608978
479,106.470790136,-6.73280279393
480,106.475300298,-6.73284464869
481,106.479810488,-6.73288646211
482,106.484320706,-6.73292823416
483,106.488830954,-6.73296996486
484,106.49334123,-6.73301165419
485,106.497851534,-6.73305330216
486,106.502361867,-6.73309490878
487,106.506872228,-6.73313647402
488,106.511382618,-6.73317799791
489,106.515893037,-6.73321948042
490,106.520403484,-6.73326092157
491,106.524913959,-6.73330232135
492,106.529424462,-6.73334367976
493,106.533934994,-6.7333849968
494,106.538445554,-6.73342627246
495,106.542956143,-6.73346750675
496,106.547466759,-6.73350869967
497,106.551977404,-6.73354985121
498,106.556488077,-6.73359096137
