ID,lon,lat
327,120.916374795,30.6160934069
328,120.921513201,30.6156975756
329,120.926651505,30.6153015458
330,120.931789707,30.6149053176
331,121.044804286,30.6061381289
332,121.049940132,30.6057373413
333,121.055075874,30.6053363556
334,121.060211514,30.6049351718
335,121.06534705,30.60453379
336,121.070482484,30.6041322102
337,121.075617814,30.6037304323
338,121.08075304,30.6033284565
339,121.085888164,30.6029262827
340,121.091023184,30.6025239109
341,121.0961581,30.6021213412
342,121.101292913,30.6017185735
343,121.106427623,30.6013156079
344,121.111562229,30.6009124444
345,121.116696731,30.600509083
346,121.12183113,30.6001055237
347,121.142367686,30.5984893082
348,120.634052162,30.6420061459
349,120.639196321,30.6416211817
350,120.64434038,30.6412360183
351,120.64948434,30.6408506557
352,120.654628202,30.6404650939
353,120.659771963,30.6400793329
354,120.664915626,30.6396933727
355,120.670059189,30.6393072134
356,120.675202653,30.6389208549
357,120.680346017,30.6385342973
358,120.685489282,30.6381475406
359,120.690632447,30.6377605847
360,120.695775512,30.6373734298
